Comments,Output
"Ahhhhh omg, this place. Where to begin. The ambience was nice, slightly upscale but in a casual way. Very high quality food. Everything was very fresh, piping hot and well curated. M

Calamari- YOU MUST GET THIS. Is a small portion, maybe two people can share this. If more than 2 people get multiple orders cause you will want to scarf this down. If I had known how delicious it was I would have gotten like 3 orders for myself....they season it so well. Perfectly cooked. It practically melted in my mouth. They serve it with this really nice coconut milk based dipping sauce. YUM

Sesame chicken - very crunchy, very sticky, sweet and served with rice and grilled pineapple. DELICIOUS.

Lemongrass chicken vermicelli bowl- piping hot, perfectly cooked chicken. The lemongrass wasn't overpowering. The portion size was very big. I had to take half to go.

Soup dumplings- these were very underwhelming for me. Idk if it was just me but they were pretty bland and just meh. I had no interested in eating a second one.

Last but certainly not least, Chow, our server was THE BEST. such a sweet guy. We spent a lot of time talking to him. Very great guy with a really great head on his shoulders. Can't wait to return!","Food - Calamari (MUST GET, perfectly seasoned), Sesame chicken (crunchy, sweet), Lemongrass chicken vermicelli bowl (big portion, perfectly cooked chicken), Soup dumplings (underwhelming)||Service - BEST, Friendly, sweet||Ambiance - Nice"
"This was my first visit, and will not be my last.  

The meals were a little pricy, hence my four stars.  The food was good, but not worth the price they displayed.  

Our waiter was great.  Very energetic, fantastic sense of humor, and interacted with our table.

Indoor and outdoor tables.  Live music.

Free parking garage in the back.","Food - Good but pricy||Service - Energetic waiter, fantastic sense of humor||Ambiance - Nice, indoor and outdoor seating, Live music"
"AUSTIN, TX / SOUTHEAST ASIAN / 02-04-23 / TAKEOUT DINNER

+The beef pho soup was pretty good; they served wide rice noodles like they do in Northern Vietnam.

-The shrimp pad thai was okay, but lacked the fiery wok fish sauce flavors you would find in street food stalls of Thailand.
-They did not have chili powder, vinegar with green chilies, or fish sauce with red chilies.
-Very westernized Asian cuisine.","Food - Beef pho (pretty good), Shrimp pad thai (lacked fiery wok fish sauce flavors)"
"We've been dining with these fine folks since summer 2021. Previously, their execution was flawless. We have now had two orders where this wasn't the case. The fried rice in last night's order would've been embarrassing if they had served it to a client of mine. The shrimp was old and the fried rice wasn't properly cooked.

They also don't actually reply to direct messages trying to seek discussion of this sort of problem.

I will no longer refer my clients to their establishment

I'm sad to see it go downhill like this","Food - fried rice (not properly cooked, shrimp was old)||Service - disappointing, unresponsive management"
"Impeccable service, a chic ambiance, and an authentic Asian fusion haven offering a range of fresh, premium dishes from Thailand, Singapore, China, and Japan! My personal highlights were the delectable green curry and the enticing rainbow scallop dumplings, accompanied by chili oil and soy sauce. An experience that encapsulates culinary excellence and cultural richness!","Food - Green curry (delectable), Rainbow scallop dumplings (enticing)||Service - Impeccable||Ambiance - Chic"
"We had reservations for 2.30pm on a Saturday afternoon and it was still packed. Very popular place. Seems to be a line to be seated if you did not have a reservation. They had dim sum until 3pm  and we were able to partake in the $20 bottle mimosas. Decor was really nice with the greenery, but the tables are a little small and close together.
The food is amazing, we truly enjoyed the beautiful dishes and flavors. The sampler plate is definitely recommended!","Food - Sampler plate (recommended)||Ambiance - Nice decoration with greenery, packed tables"
"Ambience and the only place I know in Austin that has Shanghai soup dumplings. Drinks were creative, and the sweet n sour soup was outstanding. Coming back for sure","Food - Shanghai soup dumplings (unique, outstanding), Sweet n sour soup (outstanding)||Drinks - creative||Service - great"
"This is a late post, but I had an unforgettable experience there back in July. I was visiting from out of town and my cousin had recommended Qi Austin.  To be quite honest, it wasn't on my radar because I had come with an Austin foodie list of things to try but decided to proceed and  trust his judgement.

My party and I were served by Danny who was incredibly knowledgable and had the BEST recommendations for dinner. Drink knowledge was very impressive too. I had worked in the restaurant industry for over 10 years so I knew I was being helped by someone who was very good at their job. So we had full faith to have him decide pretty much our entire dinner. There were a couple of dishes we added to the list but the rest was taken care of by Danny. We enjoyed the food but we enjoyed the service even more. If we didn't have Danny as your server then we know we wouldn't have had the same memorable experience. Promote the man! He knows what he's doing!","Food - Enjoyed||Service - Exceptional, Great recommendations"
"Qi is a hidden gem that takes you on an authentic culinary journey through the diverse and exquisite flavors of China. Located in the heart of the city, this restaurant promises a memorable dining experience.

Our culinary journey began with an array of delectable appetizers. The Dim Sum Platter was a standout, featuring delicate dumplings filled with a variety of fillings, from succulent shrimp to flavorful pork. The pan-fried spring rolls were perfectly crispy, and the dipping sauces added a burst of flavor.

For the main course, we opted for a mix of dishes from different regions of China. The Peking Duck was a showstopper, with thin, crispy skin and tender meat. The traditional table-side carving added a touch of drama to the experience. The Sichuan Kung Pao Chicken packed a spicy punch with its fiery chili peppers, and the Mapo Tofu was a silky, spicy delight.

The Stir-Fried Shanghai Noodles showcased the chef's skill with wok cooking, and the flavors were spot-on. We also tried the fragrant Cantonese-style Steamed Fish, which was incredibly fresh and accompanied by a light ginger and soy sauce.

The restaurant boasts an extensive drink menu, including a variety of Chinese teas and a well-curated selection of wines and cocktails. We paired our meal with a fragrant jasmine tea that complemented the flavors perfectly.

Qi is a hidden treasure for those seeking an authentic Chinese dining experience. From the ambiance that transports you to China to the attentive service and the diverse, flavorful dishes, this restaurant is a must-visit for lovers of Chinese cuisine. The only reason for not awarding a full five stars is that, at times, the restaurant can be a bit crowded during peak hours. Nevertheless, it's a culinary journey worth embarking on.","Food - Dim Sum Platter (standout), Pan-fried spring rolls (crispy), Peking Duck (showstopper), Sichuan Kung Pao Chicken (spicy punch), Mapo Tofu (silky, spicy), Stir-Fried Shanghai Noodles (spot-on), Cantonese-style Steamed Fish (fresh)||Drinks - Extensive menu, Chinese teas"
"Chef Ling brings everything you love about Lin,  elevated. And unlike so many restaurants that suffer after opening multiple locations, Qi is every bit as consistent, with that high dining service and atmosphere.

Shanghai dumplings are like none else, if Michelin were in Texas these would be top of their list. I branched out this time and was able to try the Lobster dumpling, more subtle, slightly sweet, still layers of complexity. I've never had a potsticker knock my socks off - this one WILL - Akaushi beef seasoned with a touch of scallion, gently steamed and reminiscent of tartare, with a crispy crown of lacy wrapper, soaking up just the right ratio of sauce. A treat! Ingredients in the fried rice were generous and fresh, but the dish was generally under seasoned, leaving room for intervention. Noodles were much better. Egg drop soup is rich but light, with the most delightful texture of egg to contrast with little fresh kernels of corn. I had the spicy shrimp in air-battered tempura with scallions & jalapeÃƒÂ±os. Very simple, straightforward, but lovely, balanced, sweet, peppery, spicy, a delight. Danny is a lovely host, helped guide us through the menu and towards a Sancerre that cut the fats just right.

Aside from sharing lunch with friends, knowing the dim sum brunch is an even better way to tour around the menu, I love that Qi is a similarly appropriate venue for a casual business lunch as it is a sentimental occasion, or (recommended) taking the large table to sample every entree on the menu paired with very fine wine & sake selections with all your friends.","Food - Shanghai dumplings (top-notch), Lobster dumpling (subtle, slightly sweet), Potsticker (knockout), Fried rice (generous, fresh but under seasoned), Noodles (much better), Egg drop soup (rich but light),spicy shrimp in air-battered tempura with scallions & jalapenos (simple, straightforward, lovely, balanced, sweet, peppery, spicy, delight)||Service - lovely, Excellent recommendations"
"Wholesome - food, service and vibe!

Food - Great menu, soup dumplings are must and the truffle fried rice packed with flavour. Special call out on their soups and great portions. All the above makes it's a great place to accommodate larger parties

Pro tip : they have great options for vegetarians too!

Bar - full service bar (you can dine at too, sometimes available for walk ins)

Ambiance - beautiful and detailed design, creative use of lighting a coloured fixtures that set the vibe, especially at night.

Patio - is great for brunch, looks onto the street and is serviced very week.","Food - Soup dumplings (must), Truffle fried rice (flavor-packed), Soups (exceptional)||Ambiance - Beautiful design, Creative lighting"
"Very accommodating to our large group of 15 (we did have reservations but needed to push it back an hour).

The drinks were very good according to my party! And they were very attentive to us. Our server was supper knowledgeable on the dishes/drinks they had to offer.

Everything here is ""family"" portions so get it to share. The food was good, but it wasn't amazing. I have definitely had better. The soup dumplings came with a cup (usually a big spoon) that you drink the soup from, but the cup just made it a little harder to enjoy tie dumpling.

The atmosphere definitely made this dinner.","Food - good, not amazing||Service - Attentive, Knowledgeable, Good recommendations||Ambiance - Great atmosphere"
"Food was really good! Of all the different dishes we were able to try, the lobster dumplings, bokchoy and mushroom, and fried rice were my favorite!
We stopped by for a bachelorette dinner. They were very nice and accommodating for our large party, we were able to sit upstairs in a private section. Despite being upstairs and distant from the crowd, they still provided great service. The restaurant itself is so beautifully decorated! Can't wait to come back.","Food - Lobster dumplings (favorite), Bokchoy and mushroom (favorite), Fried rice (favorite)||Service - great, nice, accommodating||Ambiance - beautifully decorated"
"One of my favorite spots in Austin, the best Dim Sum I have found, love it all! Service is always friendly and fast, food is great quality! The place is beautiful and has convenient free parking.
Recommend the Mango Bomb for dessert!!! Love it! All dumplings and chicken are delicious, sesame balls and salt and pepper tofu!!! Wow!!! I don't think I have ordered anything I did not love! Good I live far from it or I would be putting lots of weight in just delights! 100% recommended!!!","Food - Dim Sum (best in town), Mango Bomb (recommended)||Service - Friendly, fast, Great||Ambiance - Beautiful||Parking - Convenient, free"
"The very best Dim Sum experience I have had in Austin, it is definitely upscale but the quality and taste of the food is amazing! Service is very friendly. Almost always is full so there is some wait or you should make a reservation. The dumplings are delicious, sticky rice fantastic, egg drop soup out of this world, we tried the seafood plate and it was very good as well... the best of all hands down was the mango bomb! What a dessert!!! Loved it and would go back even if it was just for the dessert!  ...a very nice experience, no doubt about it! Good for vegetarians too by the way!","Food - Dim Sum (best experience, Amazing taste, quality), Dumplings (delicious), Sticky rice (fantastic), Egg drop soup (out of world) Seafood plate (very good), Mango Bomb (best dessert)||Service - friendly"
"Sunday brunch for dim sum with a party of 4 was a great idea to try Qi. Service was great and we arrived early and they were able to seat us.

ORDER
Shrimp har kaw
Chicken taro egg roll
Crispy chicken turnover
Chicken feet
Shanghai soup dumpling
Beef potstickers
Pork and shrimp sui mai
zha jiang noodles
sesame ball

From our order our starter would be the chicken feet (don't knock it til you try it). Coming off the bench would be pork and shrimp su mai. While we would have to cut the soup dumpling.

Service matches the upscale vibe for this place. Street parking is limited but there is a parking garage in the building. I'd recommend this place to anyone looking to celebrate a special occasion and newbies to dim sum. I would come back to try their dinner menu.","Food - Har kaw (good), Chicken taro egg roll (good), Crispy chicken turnover (good), Shanghai soup dumpling (good), Beef potstickers (good), Pork and shrimp sui mai (good), Zha jiang noodles (good), Sesame ball (good)||Ambiance - Upscale, Perfect for special occasions||Service - great"
"Qi is one of the better options for dim sum, but comes at a price. The ambiance, decor, and plating are stunning, so the prices will reflect this. Nonetheless, it is a nice place to take out-of-towners who would enjoy dim sum dishes. Best to order a bunch of menu items to share.",Food - Dim sum (good but pricey)||Ambiance - Stunning
"My husband read about the @qiaustinrestaurant and wanted to celebrate his birthday early there. Made reservations for the Wu clan.

You know it's a true foodie who would drive 2 hours one way for good food! I'm surprised yet thankful for free parking in the garage. We started off with 2 different Soup Dumplings: Shanghai and Crab Meat Fish Maw. These were almost double the size of ones in San Antonio and contain a lot of soup! The orange tea cups are especially to catch the soup as you bite into the dumpling! We ordered the Peking Duck, Whole Red Snapper in soy ginger sauce, Truffle Egg Fried Rice, Combination Fried Rice, Braised Oxtail, Honey Akaushi Beef, Pork Belly (cooked 24 hours), Sesame Chicken, and Seasonal Vegetable with Bird Nest. I felt as if I was transported to NYC's Chinatown. Phenomenal food!

The 2 not-so-stellar dishes were the Honey Akaushi Beef and the Red Snapper. Some that had the beef had tender pieces, but I ended up with chewy ones. The fish was overcooked. Kris was an excellent server and the food came out quickly.

Wish that Chef Ling was in. Her family is from Fujian province, where my grandparents are from. Would have love to chat in Fujian dialect.","Food - Shanghai Soup Dumplings (double size, lots of soup), Crab Meat Fish Maw Soup Dumplings (double size, lots of soup), Peking Duck (phenomenal), Whole Red Snapper in soy ginger sauce (overcooked), Truffle Egg Fried Rice (phenomenal), Combination Fried Rice (phenomenal), Braised Oxtail (phenomenal), Honey Akaushi Beef (mixed, some tender pieces but some chewy), Pork Belly (phenomenal), Sesame Chicken (phenomenal), Seasonal Vegetable with Bird Nest (phenomenal)||Service - Excellent, Food came out quickly||Parking - Free"
Pretty good Chinese food.  Service like a good restaurant.  Interesting decoration.  Eyes wander to all the details.  It's a solid restaurant.  Highly recommended.,Food - Pretty good Chinese food||Service - Like a good restaurant||Ambiance - Interesting decoration
"The perfect place to come with a group of Hungry people and order a bunch of dim sum to taste everything!
Good service and beautiful restaurant as well.
Will definitely be coming back!","Food - Great for sharing, Good quality||Service - Good service||Ambiance - Beautiful"
"The food here was amazing and the staff was helpful in explaining the different menu items. I had the truffle egg fried rice and shanghai dumplings -- both were really good and the flavors suited my taste. There was no wait time when I visited and the interior was pretty; low lighting but not excessive, and a very welcoming atmosphere overall. I really recommend this spot and would definitely come eat here again if I'm ever in Austin!","Food - truffle egg fried rice (amazing), Shanghai dumplings (really good)||Service - Helpful staff, explained menu items||Ambiance - Pretty interior, low lighting, welcoming atmosphere"
"We ordered a variety of entrees for the table and we were not disappointed. I enjoyed the juicy dumplings, chicken and truffle rice the most. I could eat that truffle rice every day for the rest of my life. The waiters were constantly checking on us, but not intrusive.","Food - Juicy dumplings (favorite), Chicken and truffle rice (favorite), Truffle rice (satisfying)||Service - Constantly checking but not intrusive"
Lovedddd the egg rolls & the style of them. Soup dumplings were good! The beef was good but a little too much sauce for me. Enjoyed the fried rice and truffle flavor. Loved the inside of this restaurant and the service was great too!! Recommend!,"Food - Egg rolls (loved), Soup dumplings (good), Beef (good, too much sauce), Fried rice (good), Truffle flavor (loved)||Ambiance - Inside decoration||Service - Great"
I was visiting Austin and my friend Tom told me I had to try this place.  I'm a total Michelin foodie and was reluctant at first.  Best Chinese food qualitatively I've ever had.  Kudos.  The only issue is to have the sticky rice on the dinner menu.  Thanks for the fab experience.,Food - Best Chinese food
"This was my first time trying dim sum.  I'm usually pretty simple so I'll leave a simple review:

Overall, food was very good.  The place had a nice vibe, slightly on the loud side.  I sat at the bar and that was cool watching them make all of the dumplings.  Tad pricy but I would return!

Chicken Egg Rolls: 5/10 mostly wrapper flavored
Beef Bao: 8/10 nice soft buns and great flavors
Shanghai Soup Dumpling: 7.5/10 good flavors but just not my type of food
Crabmeat Soup Dumpling: 7/10 still good but preferred shanghai
Truffle Fried Rice: 8.5/10 very good with a slight truffle flavor.  Not overpowering
Sesame Chicken: 9/10 my favorite of the items I tried.  Very crispy, light batter and good flavor
Mango with Lychee center: 6/10 good flavor but I did not enjoy the texture.","Food - Chicken Egg Rolls (mostly wrapper flavored), Beef Bao (nice soft buns, great flavors), Shanghai Soup Dumpling (good flavors), Crabmeat Soup Dumpling (good), Truffle Fried Rice (very good, slight truffle flavor), Sesame Chicken (favorite, crispy, light batter), Mango with Lychee center (good flavor, disliked texture)||Ambiance - Nice vibe, slightly loud||Price - Tad pricy"
"Service was good. Sat outside with mist fans so in the summer time on a Friday evening it was tolerable.
Truffle fries rice - so smooth. Just like any Asian food it's amazing the next day. I was ok with the truffle shaving on top. I didn't need anymore. It was so silky smooth.
Honey Beef- good portion for 2, or one depending on how you much you like it. It was great with the fried rice and especially yummy the day after.
Good date night spot. Prices are steep for Asian food but it's downtown swanky 6th.","Food - Truffle fried rice (smooth, amazing leftovers), Honey Beef (good portion, especially yummy leftovers)||Service - Good||Price - Steep for Asian food"
"What an experience! Sat at a big table for 10, waiter told us he'd provide apps based on our likes of the apps. First time I haven't had to order for the table! Here's what we had:

Pork dumplings: a must have, the dumplings are fresh and well paired with wine sauce

Red Snapper- great flavor and my favorite entree

Lobster dumplings- simply amazing but not as good as the pork dumplings

Dessert- we had an assortment of desserts and I took pics but didn't know the names

Hot sake- paired perfect with my Sapporo beer","Food - Pork dumplings (must have, fresh), Red Snapper (great flavor, favorite), Lobster dumplings (amazing, not as good as pork dumplings)||Service - helpful||Drinks - Hot sake paired perfectly with Sapporo beer"
"Had an absolute FEAST at Qi for a team lunch!

We all know a picture is worth a thousand words, so I'll let them speak for themselves. However, here's a quick summary of the fan favs:

- Soup dumplings (honestly the whole dim sum menu is amazing).
- Akaushi Honey Beef (it comes out sizzling!)
- Salt & Pepper Shrimp (NOT lobster)
- Sesame Chicken (oldie but a goodie)

Super friendly staff and if you have a large group, try to get seated at the long executive table when you first walk in!","Food - Soup dumplings (amazing), Akaushi Honey Beef (sizzling), Salt & Pepper Shrimp (not lobster), Sesame Chicken (oldie but goodie)||Service - Super friendly"
"Back table by kitchen entrance and computer was pretty awful. They should move computer for orders so they aren't on top of diners
Food: 4/5  |  Service: 3/5  |  Atmosphere: 2/5",Food - Good||Service - Good||Ambiance - Bad
"A Chinese brunch spot adorned with exquisite decor. Suitable for both a casual outing with your parents or a date night.

The food is good, though not exceptionally unique:

The soup dumplings were satisfying, yet the filling lacked cohesiveness.
The pickle platter stood out with its excellent assortment of cucumber, daikon, and jellyfish.
The salt and pepper shrimp entree, while enjoyable, was a tad oily.","Food - Soup dumplings (satisfying but lacking cohesiveness), Pickle platter (excellent assortment), Salt and pepper shrimp (enjoyable but oily)||Ambiance - Exquisite decor||Service - Suitable for various occasions"
"Hands down the best dim sum in town. We had a fantastic brunch experience at Qi. You must get the soup dumplings - the shrimp and seafood were the best. The salt and pepper shrimp ( a recommendation from our server) was expertly seasoned and makes me want to come back for dinner to try more of their traditional menu. The scallion and duck pancake items were so flavorful and delicious. The atmosphere is elegant, fun, and upscale. Our server made excellent recommendations. Would absolutely recommend making reservations. This is a must try restaurant if you are in the area.","Food - Soup dumplings (fantastic, best dim sum), Salt and pepper shrimp (expertly seasoned, recommended), Scallion and duck pancake (flavorful, delicious)||Ambiance - Elegant, fun, upscale||Service - Excellent recommendations"
"Came here for the first time to celebrate my bf's birthday for the first time and just like the other restaurants in this group, enjoyed our meal.

Dumplings are the star of the show here so make sure you order some, especially the soup dumplings. We also ordered the mustard greens, duck pancakes, zha jiang noodles, and the whole fried fish. I'd probably skip out on the noodles next time, but everything was flavorful and delicious. FYI everything is served meant to share.

The restaurant is also gorgeous and they have enough seating for large groups if you reserve ahead of time. Another plus is an attached garage with free parking for dining guests.

The only reason why I'm giving it 4 stars is because I prefer the ""homestyle"" experience of dining at a Chinese restaurant. However, this place is definitely worth the visit!","Food - Dumplings (star of the show), Mustard greens (flavorful, delicious), Duck pancakes (flavorful, delicious), Zha jiang noodles (skip), Whole fried fish (flavorful, delicious)||Ambiance - Gorgeous, seating for large groups||Service - Excellent||Parking - free"
"This place was highly rated when I was looking for a dm sum spot in Austin. It was also highly recommended by a friend as well to stop by try. Glad we listened and decided to come. So let's get this review started.

Ambience:

The place was very modern looking and especially the decor inside. I loved how it looked. Beautifully designed and pretty dark inside. The seating arrangement was sort of bunched together a bit. Oh my... the chairs were really exquisite. It was comfy but also the design was pretty nice. I just really loved their decor.

Service:

We went when it just opened, so it wasn't that bad. You could make a reservation ahead of time, but it wasn't necessary at the time we went. We were greeted by the host and then seated at a table when we entered. Our waitress was really lovely too. She was wonderful and helpful as well. She was a real delight. The way to order here is almost like a typical dim sum place. They give you a set menu and then you basically just mark down how many orders you want on the menu. Food came out pretty fast as soon as you place your order on the paper. So it wasn't that long of a wait to fill our bellies.

Food:

Oh the food! What can I say about the food. Absolutely wonderful. We enjoyed every dish that we ordered. We also ordered the typical items that we usually order at dim sum. Luckily they had the items we always ordered. Their menu for dim sum was a bit restricted, but it still had a good amount of variety to it. We ordered harrow, xis mai, bbq buns, custard buns and a lobster filled dumpling I believe. We got that one because it was in the shape of a rabbit. Very cute! We left here with full and satisfied.

Would we come again? Probably if we come back to Austin to visit.","Food - Har gow (enjoyed, satisfied), siu mai (enjoyed, satisfied), BBQ buns (enjoyed, satisfied), custard buns (enjoyed, satisfied), lobster filled dumplings (enjoyed, satisfied)||Ambiance - Modern, beautifully designed, dark, exquisite chairs, bunched seating||Service - Lovely, helpful, delightful, fast"
"If you're looking for some up-scale Chinese food, Qi can certainly hit the spot. First of all, the ambience is really nice. Note that you'll probably need a reservation ahead of time. But if you are a party of 1 or 2, there's almost always immediate seating at the bar or area in front of the kitchen.

I haven't tried everything off their menu, but there are some major hits everyone should try:

Basil Chicken Dumplings - For a dish that frankly sounds unassuming, these dumplings are a knockout. Must try if you want dumplings. The sauce that comes with it enhances it to another level.

Shrimp Har Gow - These are just done really well. The shrimp inside tastes fantastic and the texture of outer starchy skin is amazing. Probably the best Har Gow I've tried.

Honey Akaushi Beef -  WOW. If there is anything that makes Qi deserving of the 5 star review, it is this dish here. I have never had anything like this. The beef is cooked so perfectly, with a nice outer crust. Once you bite into it, it is like an explosion of delicious beef flavor.  And the sauce is this well balanced mixing of honey and pepper that hits all the senses. My parents visited me in Austin and they were so impressed by this dish as well.

My only gripe with this restaurant is their pekin duck entree. Everything tasted great, but they only provided ~3-4 bao to make your duck ""tacos."" And if you want more, you have to pay $1.50 for each extra bao! I'm not sure why they are nickle-and-diming so hard for this bread. Other Chinese restaurants give plenty.","Food - Basil Chicken Dumplings (knockout, sauce enhances), Shrimp Har Gow (done really well, fantastic shrimp), Honey Akaushi Beef (WOW, perfectly cooked beef, delicious flavor explosion), Pekin Duck (great taste, limited bao)||Ambiance - Nice||Service - great||Price - Extra charge for additional bao"
"Always a good time and good food when coming here! Plan ahead & Make sure you make reservations so you're not waiting because there will be a wait, especially on the weekends.

The service here is always amazing, I love that they have whiskey cocktails Available and they make them well! Everything I've tried here is pretty darn good but my favorites are the truffle fried rice, singapore crispy whole fish, and their imperial Tofu!

Trust me you won't be disappointed","Food - Truffle fried rice (pretty darn good), Singapore crispy whole fish (pretty darn good), Imperial Tofu (pretty darn good)||Service - Amazing"
"A culinary delight awaits at this establishment, accompanied by attentive staff who gladly elucidate the diverse menu offerings. I relished the truffle egg fried rice and Shanghai dumplings - both a perfect match for my palate. My visit encountered no delays, and the interior's aesthetic charm, featuring subtle yet inviting lighting, left a lasting impression. Heartily recommended, this spot beckons with a warm ambiance. Without a doubt, I'll return for another meal whenever I find myself in Austin again!","Food - Truffle egg fried rice (relished), Shanghai dumplings (perfect match)||Service - Attentive, elucidate diverse menu||Ambiance - Warm, inviting interior"
"This restaurant has really yummy, cute food, mice devor and ambiance, and friendly staff. You can ask the waiter for what vegan options they have as they don't have a dedicated vegan menu, but can definitely male accomodations.

My friend likes getting the chicken rats or whatever they're made of. They are super cute!

I usually get vegan dumplings or salt and pepper tofu. Super yummy!","Food - vegan dumplings (yummy), salt and pepper tofu (yummy)||Ambiance - Nice décor||Service - Friendly, accommodating||Menu - No dedicated vegan menu"
"For me, Qi is a great spot for a variety of Dim Sum small plates, shareable entrees, and a cozy / dimly lit evening out.

I definitely recommend their house special soup dumplings, truffle fried rice, and the whole fish (photo attached). The presentation, portion sizes, and quality of food do not disappoint. I think it's a great spot for a date night, evening with colleagues/clients, or any time you want to splurge or impress.

Make a reservation in advance, and be sure to check in up front with the staff when you arrive! Plenty of complementary parking spots on the fourth floor of the adjacent garage behind the front of the restaurant.","Food - House special soup dumplings (great), Truffle fried rice (recommended), Whole fish (recommended)||Ambiance - Cozy and dimly lit||Parking - Complementary spots available"
"We really wanted soup dumplings, so we went for lunch and stopped by this place. This place is very nicely decorated. All the details are thought out to the smallest detail. We were not greeted with a smile, but were immediately asked if we had a reservation. The service was not very good. No one asked if we wanted drinks. The drinks we ordered never arrived and I had to ask for them a second time. The soup dumplings were actually very tasty. The entrees, on the other hand, were flat. We ordered the chicken with pine nuts and the Berkshire pork, but it was just not flavorful. Maybe we ordered it wrong. Hard to tell as the staff didn't give us any instructions.","Food - Soup dumplings (very tasty), Chicken with pine nuts (not flavorful), Berkshire pork (not flavorful)||Ambiance - Nicely decorated||Service - Lackluster, no smile, slow||Drinks - Ordered but never arrived"
"Shanghai Soup DumplingsSzechuan Peppercorn AlligatorTruffle Fried RiceHar GowLobster DumplingsPan Sear Basil Chicken DumplingPecan ShrimpPot StickersSalt and Pepper Lobster tail
These are all my favorites","Food - Shanghai Soup Dumplings (favorite), Truffle Fried Rice (favorite), Har Gow (favorite), Lobster Dumplings (favorite), Pan Sear Basil Chicken Dumpling (favorite), Pecan Shrimp (favorite), Pot Stickers (favorite), Salt and Pepper Lobster tail (favorites)"
"The atmosphere is so amazing and the food and service are top notch  
Reservations is adviced !",Ambiance - Amazing||Food - Top notch||Service - Top notch
"Upscale Chinese fusion restaurant with beautiful ambiance, but a hefty price tag. I've dined here twice and my opinion hasn't changed much. I've tried a number of dim sum appetizers here and the Shanghai soup dumplings continue to be the best relative to the other options. Although, in comparison with other pork soup dumplings I've had at different establishments, this one falls to the bottom. The dough is too thick and vastly overpowers the under-seasoned filling. $13 for 5 pieces is also on the steep side. The peking duck was acceptable. It came with a pate you spread across the bao for flavor. There are only 3 baos that come with the order so expect disproportionate portions. I prefer my peking duck be wrapped thin pancakes or wraps, but unfortunately they don't offer that here. I much prefer the duck at Bamboo House or Jade at a much reasonable cost with more authentic flavors. The truffle fried rice was very underwhelming. Something that can easily be made at home. The only toppings it consisted of were egg and maybe 2 shavings of truffle. For a restaurant that encourages family style meals, the pork belly was really the only dish that was abundant. Unfortunately, it was doused in a sauce that didn't highlight the protein. The bird nest was probably the best thing that was ordered during this visit. The vegetables were seasoned nicely and the nest it was held in provided a satisfying crunch.

For dessert, we got the mango bomb and the fly me to the moon. I found the mango bomb a bit too tart the more bites I took, but fly me to the moon was finished off in a blink of an eye. Overall, if you're looking to spend a pretty penny, there are plenty of other options to choose from with beautiful ambiance and better bang for your buck. If you're looking for more authentic flavors, best to look elsewhere.","Food - Shanghai soup dumplings (best relative to other options, falls to the bottom compared to other pork soup dumplings), Peking duck (acceptable, disproportionate portions for baos), Truffle fried rice (underwhelming, easily made at home, lacked toppings), Pork belly (doused in sauce that didn't highlight protein), Bird nest (best, seasoned vegetables, satisfying crunch), Mango bomb (bit too tart), Fly me to the moon (finished off quickly)||Ambiance - Beautiful, modern and traditional mix||Price - high||Service - superb"
"I was a little skeptical when my friend suggested ""upscale"" dim sum in Austin. both because I prefer my dim sum with no frills and because I hadn't found many great Asian places in the city. Street parking might not be the easiest but there's a parking garage for the building that Qi is located in. We were able to quickly get seating at the bar, which provides the best view of the steamers, woks, stock pots and chefs in action.

Crab meat corn soup: substantial lumps of crab, warm, comforting soup. Great with some of the chili oil that you can ask for on the side
Asian fried chicken: tender and juicy, seemed to be roasted rather than deep fried. Sauce of palm sugar and lime is addictive.
Pan sear basil chicken dumpling: never had Thai holy basil in a dumpling before, but it works. Thin wrapper and just lightly crispy.
Szechuan peppercorn alligator: battered pieces of alligator with some toasted chilies, peppercorn, and scallion. Similar in texture to chicken and good flavor, but definitely more suitable for sharing family style.
Truffle egg fried rice - in my opinion, a bit on the drier side though it's typical to use day-old rice. Yolk is mixed with each grain of rice to give a golden hue, and the yolk and earthy truffle flavor makes for a really fragrant bite. I think the truffle shaving on top could have been a bit thinner and maybe some scallions to garnish would have ben nice
Tingling daisy: probably the most unique cocktail I've had. You're supposed to take a nibble of the peppercorn flower in between sips for a little numbing sensation.

Overall, definitely a spot worth trying out in Austin when you're looking to splurge a little. Cozy and dim atmosphere with great food, would definitely return!","Food - Crab meat corn soup (substantial lumps of crab, warm and comforting), Asian fried chicken (tender and juicy, addictive sauce), Pan sear basil chicken dumpling (thin wrapper, lightly crispy, unique flavor), Szechuan peppercorn alligator (good flavor, more suitable for sharing), Truffle egg fried rice (fragrant, slightly dry, earthy flavor), Tingling daisy cocktail (unique, numbing sensation)||Parking - Garage available||Ambiance - Cozy and dim||Service - Great||Price - Worth splurging"
